Country,Year,PrevalenceHIV,Income,geo,four_regions,eight_regions,six_regions,members_oecd_g77,Latitude,Longitude,UN member since,World bank region,World bank income group 2017,population
Antigua and Barbuda,1991,NA,17361,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,67300
Antigua and Barbuda,1992,NA,17226,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,68400
Antigua and Barbuda,1993,NA,17753,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,69900
Antigua and Barbuda,1994,NA,18400,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,71700
Antigua and Barbuda,1995,NA,17167,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,73600
Antigua and Barbuda,1996,NA,17830,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,75600
Antigua and Barbuda,1997,NA,18186,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,77700
Antigua and Barbuda,1998,NA,18483,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,79900
Antigua and Barbuda,1999,NA,18780,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,81800
Antigua and Barbuda,2000,NA,19319,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,83600
Antigua and Barbuda,2001,NA,18388,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,85100
Antigua and Barbuda,2002,NA,18676,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,86300
Antigua and Barbuda,2003,NA,19566,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,87300
Antigua and Barbuda,2004,NA,20395,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,88300
Antigua and Barbuda,2005,NA,21414,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,89300
Antigua and Barbuda,2006,NA,24016,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,90300
Antigua and Barbuda,2007,NA,26008,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,91400
Antigua and Barbuda,2008,NA,25736,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,92500
Antigua and Barbuda,2009,NA,22389,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,93600
Antigua and Barbuda,2010,NA,20567,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,94700
Antigua and Barbuda,2011,NA,19988,atg,americas,america_north,america,g77,17.05,-61.8,1981-11-11T00:00:00Z,Latin America & Caribbean,High income,95700
Argentina,1990,0.3,8539,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,32700000
Argentina,1991,0.3,9333,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,33200000
Argentina,1992,0.3,10130,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,33700000
Argentina,1993,0.3,10602,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,34100000
Argentina,1994,0.3,11108,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,34600000
Argentina,1995,0.3,10673,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,35000000
Argentina,1996,0.3,11150,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,35400000
Argentina,1997,0.3,11935,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,35800000
Argentina,1998,0.3,12268,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,36200000
Argentina,1999,0.3,11722,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,36600000
Argentina,2000,0.4,11504,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,37100000
Argentina,2001,0.4,10875,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,37500000
Argentina,2002,0.4,9574,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,37900000
Argentina,2003,0.4,10318,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,38300000
Argentina,2004,0.4,11135,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,38700000
Argentina,2005,0.4,12039,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,39100000
Argentina,2006,0.4,12913,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,39600000
Argentina,2007,0.4,13873,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,40000000
Argentina,2008,0.5,14646,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,40400000
Argentina,2009,0.4,14605,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,40800000
Argentina,2010,0.4,15765,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,41200000
Argentina,2011,0.4,16972,arg,americas,america_south,america,g77,-34,-64,1945-10-24T00:00:00Z,Latin America & Caribbean,Upper middle income,41700000
Armenia,1990,0.06,3736,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,3540000
Armenia,1991,0.06,3329,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,3510000
Armenia,1992,0.06,1973,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,3440000
Armenia,1993,0.06,1842,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,3360000
Armenia,1994,0.06,1988,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,3280000
Armenia,1995,0.06,2169,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,3220000
Armenia,1996,0.06,2333,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,3170000
Armenia,1997,0.06,2438,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,3130000
Armenia,1998,0.1,2636,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,3110000
Armenia,1999,0.1,2740,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,3090000
Armenia,2000,0.1,2919,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,3070000
Armenia,2001,0.1,3214,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,3050000
Armenia,2002,0.1,3654,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,3030000
Armenia,2003,0.1,4182,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,3020000
Armenia,2004,0.1,4635,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,3000000
Armenia,2005,0.1,5297,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,2980000
Armenia,2006,0.1,6020,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,2960000
Armenia,2007,0.1,6877,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,2930000
Armenia,2008,0.1,7383,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,2910000
Armenia,2009,0.2,6358,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,2890000
Armenia,2010,0.2,6508,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,2880000
Armenia,2011,0.2,6812,arm,europe,europe_east,europe_central_asia,others,40.25,45,1992-03-02T00:00:00Z,Europe & Central Asia,Lower middle income,2880000
Australia,1990,0.1,28604,aus,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,1945-11-01T00:00:00Z,East Asia & Pacific,High income,17000000
Australia,1991,0.1,28122,aus,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,1945-11-01T00:00:00Z,East Asia & Pacific,High income,17300000
Australia,1992,0.1,27895,aus,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,1945-11-01T00:00:00Z,East Asia & Pacific,High income,17500000
Australia,1993,0.1,28732,aus,asia,east_asia_pacific,east_asia_pacific,oecd,-25,135,1945-11-01T00:00:00Z,East Asia & Pacific,High income,17700000
